INFO:Data Dim:[784, 30, 30, 10]
INFO:Iteration 2820, actual_batch_size 50, batch_loss 0.214664682746, acc 0.920000016689
INFO:Iteration 2840, actual_batch_size 50, batch_loss 0.122444696724, acc 0.94000005722
INFO:Iteration 2860, actual_batch_size 50, batch_loss 0.127404928207, acc 0.979999959469
INFO:Iteration 2880, actual_batch_size 50, batch_loss 0.128722816706, acc 0.939999938011
INFO:Iteration 2900, actual_batch_size 50, batch_loss 0.235575214028, acc 0.899999976158
INFO:Iteration 2920, actual_batch_size 50, batch_loss 0.11701464653, acc 0.959999978542
INFO:Iteration 2940, actual_batch_size 50, batch_loss 0.347471684217, acc 0.860000014305
INFO:Iteration 2960, actual_batch_size 50, batch_loss 0.26012507081, acc 0.920000016689
INFO:Iteration 2980, actual_batch_size 50, batch_loss 0.0801605135202, acc 0.959999978542
INFO:Iteration 3000, actual_batch_size 50, batch_loss 0.0638928189874, acc 0.980000019073
INFO:Iteration 3020, actual_batch_size 50, batch_loss 0.102749176323, acc 0.939999997616
INFO:Iteration 3040, actual_batch_size 50, batch_loss 0.0388552360237, acc 0.979999959469
INFO:Iteration 3060, actual_batch_size 50, batch_loss 0.0355917625129, acc 1.0
INFO:Iteration 3080, actual_batch_size 50, batch_loss 0.229084089398, acc 0.919999957085
INFO:Iteration 3100, actual_batch_size 50, batch_loss 0.24930088222, acc 0.94000005722
INFO:Iteration 3120, actual_batch_size 50, batch_loss 0.141627445817, acc 0.959999978542
INFO:Iteration 3140, actual_batch_size 50, batch_loss 0.230852246284, acc 0.939999997616
INFO:Iteration 3160, actual_batch_size 50, batch_loss 0.0441438630223, acc 0.980000019073
INFO:Iteration 3180, actual_batch_size 50, batch_loss 0.0281176026911, acc 0.979999959469
INFO:Iteration 3200, actual_batch_size 50, batch_loss 0.107892744243, acc 0.959999978542
INFO:Iteration 3220, actual_batch_size 50, batch_loss 0.00806700717658, acc 1.0
INFO:Iteration 3240, actual_batch_size 50, batch_loss 0.12960781157, acc 0.959999978542
INFO:Iteration 3260, actual_batch_size 50, batch_loss 0.155285686255, acc 0.939999997616
INFO:Iteration 3280, actual_batch_size 50, batch_loss 0.0738268122077, acc 0.980000019073
INFO:Iteration 3300, actual_batch_size 50, batch_loss 0.173581138253, acc 0.939999997616
INFO:Iteration 3320, actual_batch_size 50, batch_loss 0.233473956585, acc 0.939999997616
INFO:Iteration 3340, actual_batch_size 50, batch_loss 0.238904118538, acc 0.920000016689
INFO:Iteration 3360, actual_batch_size 50, batch_loss 0.329655230045, acc 0.939999938011
INFO:Iteration 3380, actual_batch_size 50, batch_loss 0.138254761696, acc 0.960000038147
INFO:Iteration 3400, actual_batch_size 50, batch_loss 0.0846003443003, acc 0.980000019073
INFO:Iteration 3420, actual_batch_size 50, batch_loss 0.0837732627988, acc 0.939999938011
INFO:Iteration 3440, actual_batch_size 50, batch_loss 0.149670422077, acc 0.959999978542
INFO:Iteration 3460, actual_batch_size 50, batch_loss 0.167126223445, acc 0.960000038147
INFO:Iteration 3480, actual_batch_size 50, batch_loss 0.0210038013756, acc 1.0
INFO:Iteration 3500, actual_batch_size 50, batch_loss 0.0279690548778, acc 1.0
INFO:Iteration 3520, actual_batch_size 50, batch_loss 0.230832383037, acc 0.920000016689
INFO:Iteration 3540, actual_batch_size 50, batch_loss 0.205591693521, acc 0.920000016689
INFO:Iteration 3560, actual_batch_size 50, batch_loss 0.109144859016, acc 0.959999978542
INFO:Iteration 3580, actual_batch_size 50, batch_loss 0.056803714484, acc 0.980000019073
INFO:Iteration 3600, actual_batch_size 50, batch_loss 0.0180286131799, acc 1.0
INFO:Iteration 3620, actual_batch_size 50, batch_loss 0.178577035666, acc 0.959999978542
INFO:Iteration 3640, actual_batch_size 50, batch_loss 0.0651825293899, acc 0.979999959469
INFO:Iteration 3660, actual_batch_size 50, batch_loss 0.00839859992266, acc 1.0
INFO:Iteration 3680, actual_batch_size 50, batch_loss 0.121920414269, acc 0.959999978542
INFO:Iteration 3700, actual_batch_size 50, batch_loss 0.109777271748, acc 0.980000019073
INFO:Iteration 3720, actual_batch_size 50, batch_loss 0.111959971488, acc 0.959999978542
INFO:Iteration 3740, actual_batch_size 50, batch_loss 0.109088309109, acc 0.979999959469
INFO:Iteration 3760, actual_batch_size 50, batch_loss 0.0404279716313, acc 0.979999959469
INFO:Iteration 3780, actual_batch_size 50, batch_loss 0.413728863001, acc 0.94000005722
INFO:Iteration 3800, actual_batch_size 50, batch_loss 0.189781844616, acc 0.919999957085
INFO:Iteration 3820, actual_batch_size 50, batch_loss 0.0538790598512, acc 0.980000019073
INFO:Iteration 3840, actual_batch_size 50, batch_loss 0.151537373662, acc 0.959999978542
INFO:Iteration 3860, actual_batch_size 50, batch_loss 0.0437071435153, acc 1.0
INFO:Iteration 3880, actual_batch_size 50, batch_loss 0.0900150090456, acc 0.980000019073
INFO:Iteration 3900, actual_batch_size 50, batch_loss 0.131194651127, acc 0.920000016689
INFO:Iteration 3920, actual_batch_size 50, batch_loss 0.197995051742, acc 0.920000016689
INFO:Iteration 3940, actual_batch_size 50, batch_loss 0.146245911717, acc 0.959999978542
INFO:Iteration 3960, actual_batch_size 50, batch_loss 0.0789490044117, acc 0.959999978542
